id_transaksi,tanggal_transaksi,id_pelanggan,nama_pelanggan,id_distributor,id_cabang,nama_daerah,jenis_usaha,id_barang,nama_barang,id_merek,kategori_produk,tipe_produk,satuan_kemasan,jumlah_barang,harga_idr
IN5978,2022-05-25,CUST55670,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,9,96000.00
IN5979,2022-03-28,CUST55598,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0009,"AMBROXOL HC",BRND009,VNS,"Produk jadi",BOTOL,18,31000.00
IN5980,2022-01-23,CUST55432,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,20,17000.00
IN5981,2022-01-28,CUST55443,"APOTEK MERDEKA",TA,CAB04,Bandung,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,76,24500.00
IN5982,2022-01-30,CUST55535,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0006,"KETOCONAZOLE TABLET 200 MG",BRND006,"OGB & PH","Produk jadi",TABLET,5,39000.00
IN5983,2022-04-21,CUST55622,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,67,17000.00
IN5984,2022-05-01,CUST55714,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,8,47000.00
IN5985,2022-04-18,CUST55640,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,22,96000.00
IN5986,2022-02-15,CUST55557,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,9,112000.00
IN5987,2022-04-19,CUST55659,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,14,21000.00
IN5988,2022-02-09,CUST55551,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,10,112000.00
IN5989,2022-05-01,CUST55719,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,67,21000.00
IN5990,2022-05-03,CUST55706,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,10,96000.00
IN5991,2022-01-23,CUST55414,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,24,47000.00
IN5992,2022-06-16,CUST55707,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,23,112000.00
IN5993,2022-05-26,CUST55671,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,1,112000.00
IN5994,2022-02-01,CUST55411,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0002,"ALERGINE TABLET SALUT",BRND002,ETIKAL,"Produk jadi",DUS,12,112000.00
IN5995,2022-04-06,CUST55607,"KLINIK GM",TA,CAB03,Jakarta,Klinik,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,14,9800.00
IN5996,2022-05-25,CUST55656,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,22,64700.00
IN5997,2022-01-20,CUST55380,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,1,96000.00
IN5998,2022-04-09,CUST55610,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0001,"ACYCLOVIR DUS",BRND001,"OGB & PH","Produk jadi",DUS,23,96000.00
IN5999,2022-05-01,CUST55632,"APOTEK SINAR JAYA",TA,CAB06,Bekasi,Apotek,BRG0003,AMPICILLIN,BRND003,MARCKS,"Produk jadi",BOTOL,5,17000.00
IN6000,2022-06-16,CUST55717,"APOTEK TAPAK",EPM,CAB01,Aceh,Apotek,BRG0008,"TETRACYCLINE KAPSUL 250 MG",BRND008,MARCKS,"Produk jadi",KAPSUL,7,9800.00
IN6001,2022-04-02,CUST55603,"APOTEK SAHABAT",EPM,CAB07,Padang,Apotek,BRG0004,"TRAMADOL KAPSUL 50 MG",BRND004,VNS,"Produk jadi",KAPSUL,21,24500.00
IN6002,2022-02-04,CUST55546,"APOTEK MAJA",TA,CAB02,Kuningan,Apotek,BRG0007,"ERGOTAMINE COFFEINE",BRND007,ETIKAL,"Produk jadi",BOTOL,14,64700.00
IN6003,2022-01-27,CUST55424,"KLINIK DR. ANDRI",TD,CAB08,Lampung,Klinik,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",BRND005,SLCYL,"Produk jadi",TABLET,9,47000.00
IN6004,2022-05-01,CUST55729,"KLINIK SAHABAT",TD,CAB05,Tangerang,Klinik,BRG0010,PARACETAMOL,BRND010,SLCYL,"Produk jadi",BOTOL,5,21000.00
